[489.0, 18.0]	[468.0, 30.0]	[484.5, 24.0]	[496.5, 21.0]	[508.5, 19.5]	[520.5, 19.5]	[532.5, 22.5]	[544.5, 28.5]	[544.5, 25.5]	[528.0, 18.0]	[508.5, 15.0]	[496.5, 16.5]	[484.5, 19.5]	[472.5, 27.0]	[460.5, 33.0]	[448.5, 36.0]	[444.0, 45.0]	[439.5, 51.0]	[414.0, 63.0]	[397.5, 75.0]	[393.0, 87.0]	[393.0, 99.0]	[382.5, 111.0]																																																																												
[570.0, 966.0]	[558.0, 966.0]	[546.0, 969.0]	[547.5, 954.0]	[547.5, 942.0]	[547.5, 930.0]	[547.5, 918.0]	[546.0, 906.0]	[546.0, 894.0]	[546.0, 882.0]	[546.0, 870.0]	[532.5, 870.0]	[520.5, 870.0]	[508.5, 871.5]																																																																																					
[508.5, 856.5]	[520.5, 856.5]	[532.5, 856.5]	[544.5, 856.5]	[556.5, 856.5]	[568.5, 856.5]																																																																																													
[570.0, 870.0]	[558.0, 870.0]	[546.0, 870.0]	[538.5, 871.5]	[540.0, 883.5]	[540.0, 895.5]	[540.0, 907.5]	[541.5, 925.5]	[540.0, 937.5]	[541.5, 949.5]	[541.5, 961.5]																																																																																								
[582.0, 961.5]	[580.5, 949.5]	[580.5, 937.5]	[580.5, 925.5]	[580.5, 909.0]	[579.0, 897.0]	[579.0, 885.0]	[579.0, 873.0]	[574.5, 852.0]	[574.5, 840.0]	[573.0, 828.0]	[576.0, 816.0]	[576.0, 807.0]	[564.0, 807.0]	[552.0, 807.0]	[540.0, 807.0]	[528.0, 807.0]	[516.0, 807.0]	[504.0, 808.5]	[505.5, 807.0]	[504.0, 819.0]	[504.0, 831.0]	[504.0, 843.0]	[504.0, 855.0]	[504.0, 867.0]	[505.5, 879.0]	[505.5, 891.0]	[505.5, 903.0]	[505.5, 915.0]	[505.5, 927.0]	[505.5, 939.0]	[505.5, 951.0]	[505.5, 963.0]	[499.5, 978.0]	[505.5, 990.0]	[510.0, 990.0]	[522.0, 987.0]																																																														
[501.0, 981.0]	[513.0, 985.5]	[525.0, 982.5]	[537.0, 982.5]	[549.0, 982.5]	[561.0, 982.5]	[573.0, 982.5]	[585.0, 985.5]																																																																																											
[577.5, 918.0]	[565.5, 918.0]	[553.5, 919.5]	[534.0, 919.5]	[522.0, 919.5]	[510.0, 919.5]	[510.0, 915.0]	[522.0, 915.0]	[534.0, 915.0]	[552.0, 915.0]	[564.0, 915.0]	[576.0, 915.0]																																																																																							
[573.0, 861.0]	[561.0, 861.0]	[549.0, 861.0]	[537.0, 861.0]	[525.0, 861.0]	[513.0, 861.0]	[508.5, 865.5]	[511.5, 850.5]	[508.5, 838.5]	[510.0, 826.5]	[508.5, 822.0]	[520.5, 819.0]	[532.5, 813.0]	[544.5, 817.5]	[555.0, 823.5]	[567.0, 819.0]	[580.5, 810.0]	[577.5, 819.0]	[577.5, 831.0]	[577.5, 843.0]	[577.5, 855.0]																																																																														
[543.0, 820.5]	[531.0, 819.0]																																																																																																	
[619.5, 742.5]	[631.5, 742.5]	[643.5, 744.0]	[655.5, 744.0]	[667.5, 745.5]	[679.5, 747.0]	[691.5, 750.0]	[703.5, 751.5]	[715.5, 754.5]	[727.5, 757.5]	[739.5, 760.5]	[751.5, 765.0]	[756.0, 763.5]	[744.0, 757.5]	[732.0, 753.0]	[720.0, 750.0]	[708.0, 747.0]	[696.0, 745.5]	[684.0, 744.0]	[672.0, 742.5]	[660.0, 741.0]	[648.0, 739.5]	[636.0, 738.0]	[624.0, 738.0]	[612.0, 736.5]	[600.0, 736.5]	[588.0, 735.0]	[576.0, 735.0]	[564.0, 735.0]	[552.0, 735.0]	[540.0, 735.0]	[528.0, 735.0]	[516.0, 735.0]	[504.0, 735.0]	[492.0, 735.0]	[480.0, 735.0]	[468.0, 736.5]	[456.0, 736.5]	[444.0, 738.0]	[432.0, 739.5]	[420.0, 739.5]	[408.0, 741.0]	[396.0, 742.5]	[384.0, 744.0]	[372.0, 745.5]	[360.0, 753.0]	[348.0, 754.5]	[336.0, 757.5]	[324.0, 760.5]	[312.0, 765.0]	[300.0, 769.5]	[288.0, 777.0]	[273.0, 784.5]	[261.0, 786.0]	[256.5, 783.0]	[255.0, 777.0]	[249.0, 789.0]	[261.0, 777.0]	[262.5, 765.0]	[265.5, 756.0]	[265.5, 744.0]	[267.0, 732.0]	[268.5, 720.0]	[268.5, 708.0]	[270.0, 696.0]	[270.0, 684.0]	[271.5, 672.0]	[271.5, 660.0]	[273.0, 648.0]	[274.5, 636.0]	[274.5, 624.0]	[276.0, 612.0]	[276.0, 600.0]	[277.5, 588.0]	[277.5, 576.0]	[279.0, 564.0]	[279.0, 552.0]	[280.5, 540.0]	[280.5, 528.0]	[282.0, 516.0]	[282.0, 504.0]	[283.5, 492.0]	[283.5, 480.0]	[285.0, 468.0]	[286.5, 456.0]	[286.5, 444.0]	[286.5, 432.0]	[280.5, 432.0]	[268.5, 439.5]	[256.5, 448.5]	[244.5, 457.5]	[237.0, 453.0]	[222.0, 465.0]						
[232.5, 477.0]	[244.5, 465.0]	[249.0, 462.0]	[234.0, 474.0]	[240.0, 486.0]	[238.5, 498.0]	[237.0, 511.5]	[235.5, 523.5]	[235.5, 535.5]	[234.0, 547.5]	[234.0, 558.0]	[231.0, 564.0]	[222.0, 568.5]	[229.5, 553.5]	[241.5, 549.0]	[250.5, 549.0]	[249.0, 534.0]	[250.5, 522.0]	[252.0, 510.0]	[252.0, 498.0]	[244.5, 489.0]	[249.0, 477.0]	[255.0, 465.0]	[244.5, 484.5]	[253.5, 478.5]	[252.0, 490.5]	[244.5, 511.5]	[243.0, 523.5]	[243.0, 535.5]	[240.0, 547.5]	[247.5, 555.0]	[235.5, 561.0]	[223.5, 568.5]	[219.0, 559.5]	[226.5, 547.5]	[226.5, 535.5]	[228.0, 523.5]	[229.5, 511.5]	[229.5, 499.5]	[231.0, 487.5]	[234.0, 480.0]																																																										
[246.0, 531.0]	[246.0, 543.0]																																																																																																	
[238.5, 555.0]	[226.5, 559.5]																																																																																																	
[193.5, 565.5]	[193.5, 553.5]	[195.0, 541.5]	[189.0, 541.5]																																																																																															
[196.5, 519.0]	[204.0, 504.0]	[198.0, 516.0]	[196.5, 528.0]	[201.0, 540.0]	[199.5, 552.0]	[199.5, 564.0]	[198.0, 576.0]	[195.0, 586.5]	[174.0, 591.0]	[181.5, 594.0]	[193.5, 588.0]																																																																																							
[219.0, 639.0]	[231.0, 633.0]	[238.5, 628.5]	[219.0, 640.5]	[217.5, 652.5]	[216.0, 664.5]	[214.5, 676.5]	[213.0, 688.5]	[213.0, 700.5]	[211.5, 712.5]	[210.0, 724.5]	[210.0, 736.5]	[208.5, 748.5]	[207.0, 754.5]	[228.0, 751.5]	[244.5, 733.5]	[256.5, 729.0]	[250.5, 730.5]	[247.5, 736.5]	[259.5, 732.0]																																																																															
[231.0, 718.5]	[231.0, 730.5]	[229.5, 744.0]																																																																																																
[246.0, 768.0]	[258.0, 765.0]	[249.0, 766.5]	[250.5, 778.5]																																																																																															
[297.0, 822.0]	[309.0, 819.0]	[321.0, 816.0]	[333.0, 813.0]																																																																																															
[330.0, 834.0]	[325.5, 829.5]	[313.5, 834.0]	[301.5, 831.0]	[300.0, 828.0]	[312.0, 825.0]	[324.0, 822.0]	[330.0, 820.5]	[334.5, 832.5]	[321.0, 835.5]	[319.5, 847.5]	[319.5, 859.5]	[333.0, 868.5]	[327.0, 882.0]	[325.5, 894.0]	[325.5, 906.0]	[325.5, 918.0]	[324.0, 930.0]	[324.0, 942.0]	[322.5, 954.0]	[322.5, 966.0]	[327.0, 978.0]	[328.5, 987.0]																																																																												
[313.5, 969.0]	[313.5, 957.0]	[315.0, 945.0]	[315.0, 933.0]	[321.0, 918.0]	[321.0, 906.0]	[322.5, 894.0]	[313.5, 889.5]	[313.5, 889.5]	[312.0, 901.5]	[312.0, 913.5]	[319.5, 930.0]	[319.5, 942.0]	[319.5, 954.0]	[318.0, 966.0]	[325.5, 972.0]	[328.5, 960.0]	[328.5, 948.0]	[330.0, 936.0]	[330.0, 919.5]	[331.5, 907.5]	[331.5, 895.5]	[331.5, 883.5]	[321.0, 883.5]	[309.0, 885.0]	[307.5, 879.0]	[319.5, 876.0]	[331.5, 871.5]	[331.5, 867.0]																																																																						
[318.0, 892.5]	[316.5, 904.5]	[316.5, 916.5]	[312.0, 928.5]	[310.5, 943.5]	[309.0, 955.5]	[309.0, 967.5]																																																																																												
[324.0, 993.0]	[312.0, 991.5]	[300.0, 993.0]	[288.0, 994.5]																																																																																															
[247.5, 952.5]	[235.5, 951.0]	[223.5, 951.0]	[219.0, 949.5]	[231.0, 933.0]	[243.0, 933.0]	[246.0, 937.5]	[250.5, 949.5]	[250.5, 957.0]	[246.0, 969.0]	[232.5, 981.0]	[226.5, 993.0]	[225.0, 1005.0]	[225.0, 1017.0]																																																																																					
[207.0, 997.5]	[204.0, 993.0]	[213.0, 976.5]	[214.5, 964.5]	[216.0, 952.5]	[208.5, 937.5]	[213.0, 925.5]	[213.0, 913.5]	[210.0, 904.5]	[208.5, 910.5]																																																																																									
[207.0, 898.5]	[219.0, 895.5]																																																																																																	
